@relation chunk

@attribute pos_1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute chunk {B-ADJP, B-ADVP, B-CONJP, B-INTJ, B-LST, B-NP, B-PP, B-PRT, B-SBAR, B-UCP, B-VP, I-ADJP, I-ADVP, I-CONJP, I-INTJ, I-NP, I-PP, I-PRT, I-SBAR, I-UCP, I-VP, O}

@data
TO, VB, JJ, I-VP
VB, JJ, NNS, B-NP
JJ, NNS, IN, I-NP
NNS, IN, JJ, B-PP
IN, JJ, ., B-ADVP
JJ, ., IN, O
., IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, DT, B-VP
VBZ, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, DT, I-NP
NN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, TO, I-NP
NN, TO, VB, B-VP
TO, VB, PRP$, I-VP
VB, PRP$, NN, B-NP
PRP$, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, ",", B-NP
NN, ",", RB, O
",", RB, JJR, B-ADVP
RB, JJR, IN, B-NP
JJR, IN, CD, I-NP
IN, CD, NN, I-NP
CD, NN, ",", I-NP
NN, ",", IN, O
",", IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, ., I-NP
NN, ., IN, O
., IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, MD, I-NP
NN, MD, DT, B-VP
MD, DT, VB, I-VP
DT, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, POS, I-NP
NN, POS, NN, B-NP
POS, NN, CC, I-NP
NN, CC, DT, O
CC, DT, VBN, B-NP
DT, VBN, NN, I-NP
VBN, NN, ., I-NP
NN, ., DT, O
., DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, VBZ, I-NP
NN, VBZ, IN, B-VP
VBZ, IN, PRP, B-SBAR
IN, PRP, VBZ, B-NP
PRP, VBZ, RB, B-VP
VBZ, RB, DT, O
RB, DT, NN, B-NP
DT, NN, CC, I-NP
NN, CC, RB, O
CC, RB, VBZ, B-ADVP
RB, VBZ, RB, B-VP
VBZ, RB, VB, I-VP
RB, VB, JJ, I-VP
VB, JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, CC, I-NP
NNS, CC, NN, I-NP
CC, NN, ., I-NP
NN, ., NNP, O
., NNP, VBD, B-NP
NNP, VBD, PRP, B-VP
VBD, PRP, MD, B-NP
PRP, MD, VB, B-VP
MD, VB, DT, I-VP
VB, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, RB, I-NP
NN, RB, DT, B-NP
RB, DT, NN, I-NP
DT, NN, RB, I-NP
NN, RB, IN, B-ADVP
RB, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, PRP$, B-PP
IN, PRP$, JJ, B-NP
PRP$, JJ, NN, I-NP
JJ, NN, ., I-NP
NN, ., CC, O
., CC, JJ, O
CC, JJ, NNS, B-NP
JJ, NNS, VBD, I-NP
NNS, VBD, RB, B-VP
VBD, RB, IN, B-ADVP
RB, IN, NN, B-PP
IN, NN, IN, B-VP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, IN, B-PP
IN, IN, VB, B-PP
IN, VB, PRP$, B-NP
VB, PRP$, NN, B-NP
PRP$, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, JJ, I-VP
VB, JJ, NN, B-NP
JJ, NN, ., I-NP
NN, ., JJ, O
., JJ, NN, B-NP
JJ, NN, ",", I-NP
NN, ",", NNP, O
",", NNP, VBD, B-NP
NNP, VBD, TO, B-VP
VBD, TO, VB, I-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, NNP, I-NP
NN, NNP, CC, I-NP
NNP, CC, NNP, I-NP
CC, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ., I-NP
NNP, ., CC, O
., CC, DT, O
CC, DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, IN, B-VP
VBD, IN, IN, B-ADVP
IN, IN, NNP, B-PP
IN, NNP, IN, B-NP
NNP, IN, PRP, B-SBAR
IN, PRP, VBD, B-NP
PRP, VBD, JJ, B-VP
VBD, JJ, IN, B-ADJP
JJ, IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, TO, I-VP
VB, TO, DT, B-PP
TO, DT, JJ, B-NP
DT, JJ, JJ, I-NP
JJ, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", VBG, O
",", VBG, NN, B-VP
VBG, NN, NNS, B-NP
NN, NNS, ",", I-NP
NNS, ",", CC, O
",", CC, VBG, O
CC, VBG, PRP, B-VP
VBG, PRP, JJ, B-NP
PRP, JJ, TO, B-ADJP
JJ, TO, VB, B-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ., I-NP
NNS, ., JJ, O
., JJ, NN, B-NP
JJ, NN, NN, I-NP
NN, NN, NNS, I-NP
NN, NNS, VBD, I-NP
NNS, VBD, NNP, B-VP
VBD, NNP, POS, B-NP
NNP, POS, NN, B-NP
POS, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", NNP, O
",", NNP, ",", B-NP
NNP, ",", NNP, I-NP
",", NNP, CC, I-NP
NNP, CC, NNP, I-NP
CC, NNP, ",", I-NP
NNP, ",", VBD, O
",", VBD, NN, B-VP
VBD, NN, IN, B-NP
NN, IN, NNP, B-PP
IN, NNP, ., B-NP
NNP, ., RB, O
., RB, ",", B-ADVP
RB, ",", JJ, O
",", JJ, NNS, B-NP
JJ, NNS, RB, I-NP
NNS, RB, VBD, B-ADVP
RB, VBD, VBN, B-VP
VBD, VBN, IN, B-ADJP
VBN, IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, RB, I-NP
NN, RB, MD, B-ADVP
RB, MD, VB, B-VP
MD, VB, RB, I-VP
VB, RB, JJ, B-NP
RB, JJ, NN, I-NP
JJ, NN, ., I-NP
NN, ., NNP, O
., NNP, RB, B-NP
NNP, RB, VBD, B-ADVP
RB, VBD, RB, B-VP
VBD, RB, TO, B-ADVP
RB, TO, NNP, B-PP
TO, NNP, ",", B-NP
NNP, ",", DT, O
",", DT, NNP, B-NP
DT, NNP, NN, I-NP
NNP, NN, NN, I-NP
NN, NN, WDT, I-NP
NN, WDT, VBD, B-NP
WDT, VBD, VBN, B-VP
VBD, VBN, DT, I-VP
VBN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, JJ, B-NP
NNS, JJ, NN, B-NP
JJ, NN, ., I-NP
NN, ., NNP, O
., NNP, VBZ, B-NP
NNP, VBZ, $, B-VP
VBZ, $, CD, B-NP
$, CD, CD, I-NP
CD, CD, IN, I-NP
CD, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, JJ, I-NP
NNS, JJ, ",", B-ADVP
JJ, ",", VBG, O
",", VBG, TO, B-PP
VBG, TO, DT, B-PP
TO, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, VBD, I-NP
NNP, VBD, PRP, B-VP
VBD, PRP, VBD, B-NP
PRP, VBD, DT, B-VP
VBD, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, TO, I-NP
NN, TO, VB, B-VP
TO, VB, CD, I-VP
VB, CD, NNS, B-NP
CD, NNS, IN, I-NP
NNS, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, IN, I-NP
NNP, IN, NNP, B-PP
IN, NNP, IN, B-NP
NNP, IN, NN, B-PP
IN, NN, ., B-NP
NN, ., DT, O
., DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, RB, B-VP
VBD, RB, VBN, I-VP
RB, VBN, ., I-VP
VBN, ., DT, O
., DT, NNS, B-NP
DT, NNS, NN, I-NP
NNS, NN, CC, I-NP
NN, CC, NN, I-NP
CC, NN, RB, I-NP
NN, RB, VBD, B-ADVP
RB, VBD, DT, B-VP
VBD, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, IN, B-PP
IN, IN, $, B-NP
IN, $, CD, I-NP
$, CD, CD, I-NP
CD, CD, CC, I-NP
CD, CC, $, I-NP
CC, $, CD, I-NP
$, CD, CD, I-NP
CD, CD, IN, I-NP
CD, IN, NNP, B-PP
IN, NNP, POS, B-NP
NNP, POS, NNP, B-NP
POS, NNP, NN, I-NP
NNP, NN, CC, I-NP
NN, CC, NNP, I-NP
CC, NNP, JJ, I-NP
NNP, JJ, NN, I-NP
JJ, NN, NNS, I-NP
NN, NNS, ., I-NP
NNS, ., IN, O
., IN, NN, B-PP
IN, NN, ",", B-NP
NN, ",", NNP, O
",", NNP, MD, B-NP
NNP, MD, VB, B-VP
MD, VB, NNS, I-VP
VB, NNS, TO, B-NP
NNS, TO, DT, B-PP
TO, DT, NNP, B-NP
DT, NNP, CC, I-NP
NNP, CC, NNP, I-NP
CC, NNP, NNS, I-NP
NNP, NNS, IN, I-NP
NNS, IN, NNS, B-PP
IN, NNS, ., B-NP
NNS, ., IN, O
., IN, CD, B-PP
IN, CD, ",", B-NP
CD, ",", DT, O
",", DT, NNP, B-NP
DT, NNP, NNS, I-NP
NNP, NNS, VBD, I-NP
NNS, VBD, VBN, B-VP
VBD, VBN, NNS, B-NP
VBN, NNS, IN, I-NP
NNS, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, $, B-PP
IN, $, CD, B-NP
$, CD, CD, I-NP
CD, CD, ., I-NP
CD, ., DT, O
., DT, NN, B-NP
DT, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, NNP, I-VP
VB, NNP, DT, B-NP
NNP, DT, JJ, B-NP
DT, JJ, JJ, I-NP
JJ, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, WDT, I-NP
NN, WDT, VBZ, B-NP
WDT, VBZ, CD, B-VP
VBZ, CD, NNS, B-NP
CD, NNS, CC, I-NP
NNS, CC, NNS, I-NP
CC, NNS, NN, I-NP
NNS, NN, TO, B-VP
NN, TO, JJ, B-PP
TO, JJ, NN, B-NP
JJ, NN, CC, I-NP
NN, CC, JJ, I-NP
CC, JJ, NNS, I-NP
JJ, NNS, ., I-NP
NNS, ., NN, O
., NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, NN, B-VP
VBZ, NN, TO, B-ADJP
NN, TO, JJ, B-PP
TO, JJ, NNS, B-NP
JJ, NNS, CC, I-NP
NNS, CC, JJ, I-NP
CC, JJ, NNS, I-NP
JJ, NNS, ",", I-NP
NNS, ",", DT, O
",", DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, ., B-VP
VBD, ., CD, O
., CD, NNS, B-NP
CD, NNS, IN, I-NP
NNS, IN, VBG, B-PP
IN, VBG, JJ, B-NP
VBG, JJ, NN, I-NP
JJ, NN, VB, I-NP
NN, VB, TO, B-VP
VB, TO, VB, I-VP
TO, VB, JJ, I-VP
VB, JJ, NNS, B-NP
JJ, NNS, IN, I-NP
NNS, IN, VBG, B-PP
IN, VBG, DT, B-VP
VBG, DT, NN, B-NP
DT, NN, NNS, I-NP
NN, NNS, IN, I-NP
NNS, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, IN, I-NP
NNS, IN, RB, B-PP
IN, RB, JJ, B-NP
RB, JJ, IN, I-NP
JJ, IN, CD, I-NP
IN, CD, NN, I-NP
CD, NN, ., I-NP
NN, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, VBZ, I-NP
NNP, VBZ, VBG, B-VP
VBZ, VBG, IN, I-VP
VBG, IN, DT, B-PP
IN, DT, NNS, B-NP
DT, NNS, ",", I-NP
NNS, ",", WDT, O
",", WDT, MD, B-NP
WDT, MD, VB, B-VP
MD, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, VBN, B-NP
NN, VBN, IN, B-VP
VBN, IN, RBS, B-PP
IN, RBS, NNS, B-NP
RBS, NNS, ., I-NP
NNS, ., DT, O
., DT, NNS, B-NP
DT, NNS, ",", I-NP
NNS, ",", IN, O
",", IN, NN, B-PP
IN, NN, NNS, B-NP
NN, NNS, RB, I-NP
NNS, RB, VBN, B-VP
RB, VBN, IN, I-VP
VBN, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, CC, I-NP
NNP, CC, NNP, I-NP
CC, NNP, ",", I-NP
NNP, ",", MD, O
",", MD, VB, B-VP
MD, VB, VB, I-VP
VB, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, WDT, I-NP
NN, WDT, VBZ, B-NP
WDT, VBZ, VBN, B-VP
VBZ, VBN, DT, I-VP
VBN, DT, VBG, B-NP
DT, VBG, NN, I-NP
VBG, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, CD, B-NP
DT, CD, ",", I-NP
CD, ",", DT, O
",", DT, NN, B-NP
DT, NN, NNS, I-NP
NN, NNS, CC, I-NP
NNS, CC, NN, I-NP
CC, NN, NNS, I-NP
NN, NNS, VBP, I-NP
NNS, VBP, ., B-VP
VBP, ., RB, O
., RB, ",", B-ADVP
RB, ",", DT, O
",", DT, NN, B-NP
DT, NN, NNS, I-NP
NN, NNS, VBP, I-NP
NNS, VBP, RB, B-VP
VBP, RB, VBN, I-VP
RB, VBN, NN, I-VP
VBN, NN, NNS, I-VP
NN, NNS, TO, B-NP
NNS, TO, VB, B-VP
TO, VB, IN, I-VP
VB, IN, DT, B-PP
IN, DT, VBN, B-NP
DT, VBN, NNS, I-NP
VBN, NNS, ., I-NP
NNS, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, VBZ, I-NP
NNP, VBZ, DT, B-VP
VBZ, DT, CC, I-VP
DT, CC, VBN, I-VP
CC, VBN, IN, I-VP
VBN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, CC, I-NP
NN, CC, VBZ, O
CC, VBZ, RB, B-VP
VBZ, RB, VBG, I-VP
RB, VBG, IN, I-VP
VBG, IN, DT, B-PP
IN, DT, RBR, B-NP
DT, RBR, JJ, I-NP
RBR, JJ, NNP, I-NP
JJ, NNP, NN, I-NP
NNP, NN, IN, I-NP
NN, IN, CD, B-PP
IN, CD, IN, B-NP
CD, IN, DT, B-PP
IN, DT, NNS, B-NP
DT, NNS, ., I-NP
NNS, ., IN, O
., IN, NN, B-PP
IN, NN, VBZ, B-NP
NN, VBZ, DT, B-VP
VBZ, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, WDT, I-NP
NNS, WDT, VBP, B-NP
WDT, VBP, VBN, B-VP
VBP, VBN, IN, I-VP
VBN, IN, RBS, B-PP
IN, RBS, NNS, B-NP
RBS, NNS, ., I-NP
NNS, ., JJ, O
., JJ, JJ, B-NP
JJ, JJ, NN, I-NP
JJ, NN, VBZ, I-NP
NN, VBZ, JJ, B-VP
VBZ, JJ, TO, B-ADJP
JJ, TO, DT, B-PP
TO, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-SBAR
IN, DT, PRP, I-SBAR
DT, PRP, VBZ, B-NP
PRP, VBZ, VBN, B-VP
VBZ, VBN, IN, I-VP
VBN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, TO, I-NP
NN, TO, VB, B-PP
TO, VB, NN, B-NP
VB, NN, ",", I-NP
NN, ",", IN, O
",", IN, NN, B-PP
IN, NN, VBG, B-NP
NN, VBG, RB, B-VP
VBG, RB, IN, B-CONJP
RB, IN, VBG, I-CONJP
IN, VBG, VBN, B-VP
VBG, VBN, TO, I-VP
VBN, TO, DT, B-PP
TO, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., IN, O
., IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ",", I-NP
NNS, ",", IN, O
",", IN, VBN, B-NP
IN, VBN, NN, I-NP
VBN, NN, VBZ, I-NP
NN, VBZ, JJ, B-VP
VBZ, JJ, IN, B-ADJP
JJ, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, VBG, I-NP
NN, VBG, DT, B-VP
VBG, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., DT, O
., DT, NNP, B-NP
DT, NNP, NN, I-NP
NNP, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", CC, O
",", CC, VB, O
CC, VB, DT, B-VP
VB, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, ",", B-NP
NN, ",", WDT, O
",", WDT, VBZ, B-NP
WDT, VBZ, RB, B-VP
VBZ, RB, JJ, O
RB, JJ, ., B-ADJP
JJ, ., DT, O
., DT, JJR, B-NP
DT, JJR, NNP, I-NP
JJR, NNP, NN, I-NP
NNP, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, RB, B-PP
IN, RB, CD, B-NP
RB, CD, NNS, I-NP
CD, NNS, ., I-NP
NNS, ., ``, O
., ``, PRP, O
``, PRP, VBP, B-NP
PRP, VBP, DT, B-VP
VBP, DT, NN, B-NP
DT, NN, RB, B-PP
NN, RB, IN, B-ADVP
RB, IN, DT, I-ADVP
IN, DT, NNP, B-NP
DT, NNP, ",", I-NP
NNP, ",", "''", O
",", "''", VBD, O
"''", VBD, NNP, B-VP
VBD, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", JJ, O
",", JJ, NN, B-NP
JJ, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, NN, B-PP
IN, NN, NNS, B-NP
NN, NNS, IN, I-NP
NNS, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, IN, I-NP
NNP, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, ., I-NP
NNP, ., ``, O
., ``, PRP, O
``, PRP, VBZ, B-NP
PRP, VBZ, DT, B-VP
VBZ, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, "''", B-NP
NN, "''", IN, O
"''", IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, VBG, I-NP
NN, VBG, DT, B-VP
VBG, DT, NNP, B-NP
DT, NNP, IN, I-NP
NNP, IN, PRP, B-SBAR
IN, PRP, VBZ, B-NP
PRP, VBZ, DT, B-VP
VBZ, DT, NN, B-NP
DT, NN, CC, I-NP
NN, CC, VBZ, O
CC, VBZ, RB, B-VP
VBZ, RB, VB, I-VP
RB, VB, TO, I-VP
VB, TO, VB, I-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ., I-NP
NNS, ., RB, O
., RB, ",", B-ADVP
RB, ",", NNP, O
",", NNP, NNP, B-NP
NNP, NNP, VBZ, I-NP
NNP, VBZ, ",", B-VP
VBZ, ",", DT, O
",", DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, VBZ, B-NP
NN, VBZ, IN, B-VP
VBZ, IN, CD, B-PRT
IN, CD, NN, B-NP
CD, NN, TO, I-NP
NN, TO, CD, O
TO, CD, NN, B-NP
CD, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, ., B-NP
NNS, ., DT, O
., DT, NNS, B-NP
DT, NNS, IN, I-NP
NNS, IN, NNS, B-PP
IN, NNS, VBP, B-NP
NNS, VBP, VBN, B-VP
VBP, VBN, VBN, I-VP
VBN, VBN, IN, I-VP
VBN, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, NNS, B-PP
IN, NNS, JJ, B-NP
NNS, JJ, IN, B-PP
JJ, IN, NNP, I-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ",", I-NP
NNP, ",", NNP, O
",", NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, CC, I-NP
NNP, CC, NNP, O
CC, NNP, NNP, B-NP
NNP, NNP, ., I-NP
NNP, ., DT, O
., DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, VBN, I-NP
NN, VBN, IN, B-VP
VBN, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, CC, I-NP
NNP, CC, NNP, I-NP
CC, NNP, MD, I-NP
NNP, MD, VB, B-VP
MD, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, VBG, I-NP
NN, VBG, NNS, B-VP
VBG, NNS, IN, B-NP
NNS, IN, NN, B-NP
IN, NN, NNS, B-VP
NN, NNS, VBG, B-NP
NNS, VBG, IN, B-VP
VBG, IN, NNP, B-PP
IN, NNP, NN, B-NP
NNP, NN, TO, I-NP
NN, TO, VB, B-VP
TO, VB, NNS, I-VP
VB, NNS, IN, B-NP
NNS, IN, NNS, B-PP
IN, NNS, VBN, B-NP
NNS, VBN, IN, B-VP
VBN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, CD, I-NP
JJ, CD, NNS, I-NP
CD, NNS, ., I-NP
NNS, ., IN, O
., IN, NN, B-PP
IN, NN, ",", B-NP
NN, ",", IN, O
",", IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, DT, B-VP
VBD, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, $, B-PP
IN, $, CD, B-NP
$, CD, CD, I-NP
CD, CD, IN, I-NP
CD, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, NNS, I-NP
NN, NNS, ",", I-NP
NNS, ",", DT, O
",", DT, VBG, B-NP
DT, VBG, NN, I-NP
VBG, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, TO, I-NP
NN, TO, VB, B-VP
TO, VB, JJ, I-VP
VB, JJ, TO, B-ADJP
JJ, TO, VB, B-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, PRP, I-NP
NN, PRP, VBD, B-NP
PRP, VBD, IN, B-VP
VBD, IN, CD, B-PP
IN, CD, IN, B-NP
CD, IN, CD, B-PP
IN, CD, ",", B-NP
CD, ",", WRB, O
",", WRB, PRP, B-ADVP
WRB, PRP, MD, B-NP
PRP, MD, VB, B-VP
MD, VB, VBN, I-VP
VB, VBN, DT, I-VP
VBN, DT, JJ, B-NP
DT, JJ, JJ, I-NP
JJ, JJ, NN, I-NP
JJ, NN, ., I-NP
NN, ., CC, O
., CC, DT, O
CC, DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, VBG, B-VP
VBZ, VBG, RB, I-VP
VBG, RB, VBN, I-VP
RB, VBN, IN, I-VP
VBN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", WDT, O
",", WDT, VBZ, B-NP
WDT, VBZ, VBG, B-VP
VBZ, VBG, IN, I-VP
VBG, IN, VBG, B-PP
IN, VBG, IN, B-VP
VBG, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, ., I-NP
NN, ., ``, O
., ``, NNS, O
``, NNS, IN, B-NP
NNS, IN, NNS, B-PP
IN, NNS, VBP, B-NP
NNS, VBP, TO, B-VP
VBP, TO, VB, I-VP
TO, VB, RB, I-VP
VB, RB, IN, B-ADVP
RB, IN, PRP, B-SBAR
IN, PRP, VBP, B-NP
PRP, VBP, RB, B-VP
VBP, RB, VB, I-VP
RB, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", "''", O
",", "''", VBD, O
"''", VBD, NNP, B-VP
VBD, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", VBG, O
",", VBG, NN, B-NP
VBG, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", NNP, I-NP
",", NNP, CC, I-NP
NNP, CC, NNP, I-NP
CC, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, IN, I-NP
NNP, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, ., I-NP
NNP, ., NNP, O
., NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, NNS, I-NP
NNP, NNS, VBP, I-NP
NNS, VBP, DT, B-VP
VBP, DT, VBN, B-NP
DT, VBN, NN, I-NP
VBN, NN, RB, I-NP
NN, RB, VBZ, B-ADVP
